Question;Answer
Что мне делать, если мне придется пропустить занятие из-за болезни?;Предупреди преподавателя, что сегодня не придешь и сделай задание.
Могу ли я перейти на другую специальность на том же факультете?;Да.
Как я могу обжаловать оценку, которая, по моему мнению, была выставлена несправедливо?;Подойти к преподавателю и обсудть это с ним.
Как я могу принять участие в исследовательских проектах преподавателей?;Подойти к преподавателю и обсудть это с ним.
Какие услуги репетитора доступны для прохождения сложных курсов?;Университет не предоставляет такие услуги.
Есть ли возможности для обучения за рубежом на моем факультете?;Нет.
Как мне найти научного руководителя на моем факультете?;Узнать в деканате.
Как я могу присоединиться к студенческим организациям, связанным с моей специальностью?;Это можно сделать в ППОС ИГУ.
Могу ли я создать независимый учебный проект с преподавателем?;Да, если преподаватель согласится.
Как мне получить доступ к компьютерным классам факультета в нерабочее время?;Никак.
Какие стипендии предусмотрены для моего факультета?;ГАС, ГСС, ПГАС.
Как я могу стать ассистентом преподавателя на курсе?;Подойти к преподавателю и обсудть это с ним.
Каковы требования для получения диплома с отличием?;Нужно иметь более 75% отличных оценок и ни одной удовлетворительной.
Могу ли я получить зачет за предыдущее обучение?;Да.
Где можно запросить академическую справку?;В деканате.
Предоставляется ли общежитие на время вступительных испытаний?;Да.
Какие документы необходимы для поступления?;Удостоверение личности, Документ об образовании, СНИЛС, Согласие на зачисление, Согласие поступающего на передачу персональных данных.
Имеет ли право получать стипендию коммерческий студент? ;Коммерческий студент имеет право получать стипендию только из средств от приносящей доход деятельности или из других источников.
За что может быть отчислен студент?;По инициативе обучающегося, По инициативе ИГУ, В связи с завершением обучения, В связи со смертью.
Какой адресс главного корпуса ИГУ?;664003 г. Иркутск, ул. Карла Маркса, 1.
Какой сайт у ИГУ?;https://isu.ru
Какой сайт у ФБКИ?;https://fbki.isu.ru/
Какой адресс ФБКИ?;664033 г. Иркутск, ул. Лермонтова 126, 6-й корпус ИГУ.
Какая почта деканата ФБКИ?;dekanat@fbki.isu.ru
Где можно найти расписание и домашние задания студентам ФБКИ?;https://bki.forlabs.ru/
Какие документы необходимы для вселения в общежитие?;Для вселения в общежитие необходимы паспорт, справка и копия справки о флюорографии и 2 фотографии 3х4.
Какова стоимость проживания в общежитии?;Стоимость проживания в студенческих общежитиях устанавливается приказом Ректора.
Сколько длится обучение на подготовительных курсах?;Продолжительность курсов варьируется от 2 месяцев до 8 месяцев.
Возможно ли подать заявление на несколько направлений или специальностей?;В рамках университета возможно подать заявления на поступление не более чем на 5 направлений или специальностей.
Предоставляется ли отсрочка от армии?;Если вы поступили в вуз на очную форму обучения и при этом не воспользовались ранее своим правом на отсрочку, при достижении 18 лет, то Вам предоставляется отсрочка от армии на весь срок обучения.
Когда был открыт ИГУ?;27 октября 1918.
Кто был первым ректором университета?;М. М. Рубинштейн.
Какой всемироно известный путешественник преподавал в ИГУ в конце 1920 года?;Профессор Гомбожаб Цыбиков.
Когда проходит сессия в очном отделении ФБКИ?;В Январе и в Июне.
Как связаться с преподавателем?;Контакты преподавателей указаны на сайте кафедры.
Есть ли льготы для отличников?;Да, к примеру повышеннная стипендия.
Что делать, есди утерян пропуск?;Обратиться в деканат, заплатить штраф и получить новый пропуск.
Есть ли на базе ИГУ колледж?;Да.
Как попасть в Военный учебный центр ИГУ?;Нужно подать заявление и пройти конкурсный отбор.
Сколько учебный институтов и факультетов входит в состав ИГУ?;8 институтов и 11  факультетов.
Кто является действующим ректором ИГУ?;Александр Фёдорович Шмидт 
Какое место среди российских вузов занимает ИГУ?;58 место.
Где подать заявление на комнату в общежитии?;Через личный кабинет студента.
Где можно найти контакты преподавателей?;На сайте кафедры.
Как зовут декана ФБКИ?;Марина Георгиевна Синчурина.
Сколько стоит год обучения в ФБКИ?;В среднем 100 000 рубей.
Сколько студентов обучается в ИГУ?;14 670 студентов.
Какая максимальная продолжительность академического отпуска?;2 года.
Когда отмечается день студента?;25 января.
Можно ли пересдать сессию?;Да.
